Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,1024.0,18.0,77.0,1024.0,0.1,43.807,0.0,0.0,85.6802134513855,,,,,,,,,,,,,,,,,,,,,16.015605429825175,13.589031202843316,42.65907387057074,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1076.0,19.0,52.0,1076.0,0.1,31.606000000000016,0.0,0.0,90.61699390411377,,,,,,,,,,,,,,,,,,,,,12.022816780809485,10.06208701616148,31.04286822097162,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1137.0,20.0,61.0,1137.0,0.1,42.906,0.0,0.0,96.52496409416199,,,,,,,,,,,,,,,,,,,,,16.087056350936948,14.25151890887106,42.00866488369536,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,57.0,1.0,57.0,1194.0,0.1,31.50800000000003,0.0,0.0,202.165869474411,,,,,,,,,,,,,,,,,,,,,9.764340112055782,10.45082558265729,31.013428457098566,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,102.0,2.0,45.0,1239.0,0.1,30.606000000000016,0.0,0.0,206.69668889045715,,,,,,,,,,,,,,,,,,,,,11.417318129893745,10.383840324325252,30.152495522704672,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,146.0,3.0,44.0,1283.0,0.1,25.40600000000002,0.0,0.0,210.90271973609924,,,,,,,,,,,,,,,,,,,,,8.419184066182503,8.552355186369583,25.0857022198254,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,184.0,4.0,38.0,1321.0,0.1,21.30600000000002,0.0,0.0,214.58003735542297,,,,,,,,,,,,,,,,,,,,,6.973296840985356,7.267477676105762,21.083159956796194,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,226.0,5.0,42.0,1363.0,0.1,17.50600000000003,0.0,0.0,218.57749605178833,,,,,,,,,,,,,,,,,,,,,4.813510999535201,5.5703185567210936,17.33849218389513,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,283.0,6.0,57.0,1420.0,0.1,25.308000000000035,0.0,0.0,223.88824939727783,,,,,,,,,,,,,,,,,,,,,7.042587565691925,7.937804969271971,24.956460473241574,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,312.0,7.0,29.0,1449.0,0.1,14.105999999999995,0.0,0.0,227.0124683380127,,,,,,,,,,,,,,,,,,,,,4.3547522924155375,4.849412470655895,14.007713603012375,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,354.0,8.0,42.0,1491.0,0.1,21.50500000000002,0.0,0.0,231.03290271759033,,,,,,,,,,,,,,,,,,,,,6.814733654016026,7.0329946350189045,21.261282490229295,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,389.0,9.0,35.0,1526.0,0.1,16.80800000000002,0.0,0.0,234.3924217224121,,,,,,,,,,,,,,,,,,,,,4.91398432846512,5.719694987679568,16.669332544259703,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,424.0,10.0,35.0,1561.0,0.1,22.505000000000013,0.0,0.0,237.8049018383026,,,,,,,,,,,,,,,,,,,,,8.254731713326903,7.753220917258579,22.26058329604235,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,481.0,11.0,57.0,1618.0,0.1,35.90899999999999,0.0,0.0,243.30864453315735,,,,,,,,,,,,,,,,,,,,,12.29576701601718,12.067530434755911,35.278663328079844,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,514.0,12.0,33.0,1651.0,0.1,15.707999999999993,0.0,0.0,246.58290553092957,,,,,,,,,,,,,,,,,,,,,4.598826133946162,5.372720558440284,15.58739794607398,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,655.0,13.0,141.0,1792.0,0.1,57.221000000000075,0.0,0.0,259.0852949619293,,,,,,,,,,,,,,,,,,,,,25.96909352520976,14.45640388281516,53.666637421150334,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,684.0,14.0,29.0,1821.0,0.1,12.206999999999994,0.0,0.0,262.0481526851654,,,,,,,,,,,,,,,,,,,,,3.430962159035647,4.123246204640603,12.131753472579655,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,727.0,15.0,43.0,1864.0,0.1,26.607000000000017,0.0,0.0,266.3692331314087,,,,,,,,,,,,,,,,,,,,,9.259883094295862,9.049799027531526,26.261321408440754,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,758.0,16.0,31.0,1895.0,0.1,14.605999999999995,0.0,0.0,269.53605556488037,,,,,,,,,,,,,,,,,,,,,4.511171878657076,4.901355943166694,14.495129435503204,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,844.0,17.0,86.0,1981.0,0.1,53.806000000000004,0.0,0.0,277.2819540500641,,,,,,,,,,,,,,,,,,,,,20.15054530830445,15.857910226276529,52.17735563740498,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,874.0,18.0,30.0,2011.0,0.1,15.104999999999995,0.0,0.0,280.22078585624695,,,,,,,,,,,,,,,,,,,,,4.85942995091869,5.126954348603618,14.989180473238447,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,964.0,19.0,90.0,2101.0,0.1,40.609000000000016,0.0,0.0,288.2896680831909,,,,,,,,,,,,,,,,,,,,,13.712517279130656,12.064959501229382,39.45374147408494,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1002.0,20.0,38.0,2139.0,0.1,20.706000000000017,0.0,0.0,292.21542263031006,,,,,,,,,,,,,,,,,,,,,6.750718575698676,6.97117160551154,20.490433069830047,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,117.0,1.0,117.0,2256.0,0.1,77.20499999999998,0.0,0.0,394.41899156570435,,,,,,,,,,,,,,,,,,,,,34.42210522945838,23.136249719132376,73.32418874144753,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,339.0,2.0,222.0,2478.0,0.1,157.2099999999999,0.0,0.0,413.8121118545532,,,,,,,,,,,,,,,,,,,,,59.45073644205141,45.302224389310986,144.30039299546266,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,487.0,3.0,148.0,2626.0,0.1,88.7109999999999,0.0,0.0,426.75566697120667,,,,,,,,,,,,,,,,,,,,,29.933070277782605,26.907019789844696,84.44972059034825,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,527.0,4.0,40.0,2666.0,0.1,16.509000000000015,0.0,0.0,430.5498163700104,,,,,,,,,,,,,,,,,,,,,4.476755326794178,5.3325443097199665,16.362638701692923,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,584.0,5.0,57.0,2723.0,0.1,31.30700000000002,0.0,0.0,436.0797870159149,,,,,,,,,,,,,,,,,,,,,11.548710619120875,9.918396094664713,30.71011301061833,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,624.0,6.0,40.0,2763.0,0.1,21.40700000000002,0.0,0.0,439.94789361953735,,,,,,,,,,,,,,,,,,,,,6.706951048008404,7.2595907111594205,21.181062902822408,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,654.0,7.0,30.0,2793.0,0.1,15.704999999999995,0.0,0.0,442.9914138317108,,,,,,,,,,,,,,,,,,,,,5.055557887232082,5.424814178873769,15.584486652200788,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,743.0,8.0,89.0,2882.0,0.1,52.106,0.0,0.0,451.0150408744812,,,,,,,,,,,,,,,,,,,,,20.860486819365967,14.913365961214332,50.35006645592182,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,779.0,9.0,36.0,2918.0,0.1,15.906999999999993,0.0,0.0,454.731148481369,,,,,,,,,,,,,,,,,,,,,4.57366103878674,5.234076440937137,15.773880189101696,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,882.0,10.0,103.0,3021.0,0.1,79.30599999999998,0.0,0.0,464.0185971260071,,,,,,,,,,,,,,,,,,,,,32.50629974593946,24.133755258719386,76.10999500618564,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,1090.0,11.0,208.0,3229.0,0.1,142.90800000000002,0.0,0.0,482.15670228004456,,,,,,,,,,,,,,,,,,,,,66.45286641400973,39.48076582787916,129.34436316785852,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1116.0,12.0,26.0,3255.0,0.1,11.204999999999995,0.0,0.0,484.80677318573,,,,,,,,,,,,,,,,,,,,,3.3201539896066667,3.80945946798991,11.140946748821122,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1164.0,13.0,48.0,3303.0,0.1,31.106000000000016,0.0,0.0,489.3534326553345,,,,,,,,,,,,,,,,,,,,,11.229907978978664,10.407474414966243,30.62819016915717,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1202.0,14.0,38.0,3341.0,0.1,14.008999999999991,0.0,0.0,493.2392568588257,,,,,,,,,,,,,,,,,,,,,3.6943089055778184,4.444133931404636,13.896395155503898,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1292.0,15.0,90.0,3431.0,0.1,35.10900000000001,0.0,0.0,501.26612401008606,,,,,,,,,,,,,,,,,,,,,13.485828652025273,10.042107600894155,33.963167793737405,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
